recruitNumber,name,detailLink,publishTime,catalog,workLocation
1,CS-腾讯公益品牌合作创新岗（深圳）,http://hr.tencent.com/position_detail.php?id=24050&keywords=&tid=0&lid=0,2016-04-06,市场类,深圳
1,OMG193-广告产品策划（上海）,http://hr.tencent.com/position_detail.php?id=24058&keywords=&tid=0&lid=0,2016-04-06,市场类,上海
2,SNG12-金融云商务拓展经理（深圳）,http://hr.tencent.com/position_detail.php?id=24004&keywords=&tid=0&lid=0,2016-04-06,市场类,深圳
1,MIG08-视觉设计师（北京）,http://hr.tencent.com/position_detail.php?id=23956&keywords=&tid=0&lid=0,2016-04-06,设计类,北京
2,MIG18-应用宝高级游戏运营经理（深圳）,http://hr.tencent.com/position_detail.php?id=23559&keywords=&tid=0&lid=0,2016-04-06,产品/项目类,深圳
3,HY4-互娱应用开发工程师(深圳),http://hr.tencent.com/position_detail.php?id=23816&keywords=&tid=0&lid=0,2016-04-06,技术类,深圳
1,15614-SLG 系统策划（上海）,http://hr.tencent.com/position_detail.php?id=23696&keywords=&tid=0&lid=0,2016-04-06,产品/项目类,上海
2,SNG11-业务运维工程师（深圳）,http://hr.tencent.com/position_detail.php?id=23766&keywords=&tid=0&lid=0,2016-04-06,技术类,深圳
1,19332-企业软件解决方案高级产品经理（上海）,http://hr.tencent.com/position_detail.php?id=23619&keywords=&tid=0&lid=0,2016-04-06,产品/项目类,上海
2,S2-AR财务经理（深圳）,http://hr.tencent.com/position_detail.php?id=23511&keywords=&tid=0&lid=0,2016-04-06,职能类,深圳
